Time,F_Scale,Location,County,State,Lat,Lon,Comments
2312,UNK,COVINGTON,TIPTON,TN,35.57,-89.65,POWER LINES AND TREES DOWN ON HIGHWAY 51 SOUTH OF COVINGTON BLOCKING THE ROAD. (MEG)
2312,UNK,SHERMAN,SANGAMON,IL,39.9,-89.61,CORRECTS PREVIOUS TORNADO REPORT FROM SHERMAN. PATH LENGTH 5.5 MILES... WIDTH 400 YARDS.... MAXIMUM PEAK WINDS 130 MPH. A TORNADO DEVELOPED ONE MILE NORTHWEST OF SHERMA (ILX)
2316,UNK,1 SSE BELLEVUE,JACKSON,IA,42.25,-90.42,*** 3 INJ *** CORRECTS PREVIOUS TORNADO REPORT FROM 1 SSE BELLEVUE. EF2 TORNADO... 5.5 MILE PATH LENGTH AND 100 YARD WIDTH. (DVN)
2318,UNK,1 ESE RIVERTON,SANGAMON,IL,39.84,-89.52,PATH LENGTH 21 MILES... PEAK WIDTH 200 YARDS... MAX WIND 130 MPH. THE TORNADO DEVELOPED NEAR THE INTERSECTION OF OVERPASS RD AND OLD RT. 36 CAUSING DAMAGE TO TREES. NOR (ILX)
2324,UNK,4 ENE MORRISTOWN,HENRY,IL,41.42,-90.23,ESTIMATED PEAK WIND OF 135 MPH... WITH PATH LENGTH OF 3.6 MILES AND WIDTH AROUND 300 YARDS. (DVN)
2326,UNK,DAWSON,SANGAMON,IL,39.86,-89.46,DAWSON FPD REPORTING TORNADO TOUCHDOWN ON ROUTE 36/172 OVERPASS. (ILX)
2328,UNK,4W BROWNSVILLE,HAYWOOD,TN,35.59,-89.25,CORRECTS PREVIOUS TORNADO REPORT FROM BROWNSVILLE. A ROOF WAS BLOWN OFF A TRAILER ON PEPPER LANE IN BROWNSVILLE. SOME DEBRIS IS ON THE ROAD AND IN THE TREES. (MEG)
2328,UNK,SHERMAN,SANGAMON,IL,39.9,-89.6,HEAVY DAMAGE TO STRUCTURES IN SHERMAN BY OLD BUSINESS 55 BY FIRE STATION. (ILX)
2330,UNK,2 W GENESEO,HENRY,IL,41.45,-90.19,STATE POLICE SIGHTED MOVING EAST. (DVN)
2333,UNK,5 NNW ATKINSON,HENRY,IL,41.48,-90.06,ESTIMATED PEAK WIND OF 110 MPH... WITH PATH LENGTH OF 3.1 MILES AND WIDTH AROUND 200 YARDS. (DVN)
2337,UNK,3 WSW KEWANEE,HENRY,IL,41.23,-90.02,EF-2 RATED TORNADO WITH PEAK WIND GUST OF 118 MPH. THE TORNADO TOUCHED DOWN WEST-SOUTHWEST OF KEWANEE... WHERE IT DAMAGED FARM BUILDINGS AND POWER POLES. THE TORNADO CO (DVN)
2338,UNK,6 SSW MOUNT PULASKI,LOGAN,IL,39.93,-89.33,HAM RADIO OPERATOR REPORTING THAT THE FIRE DEPARTMENT ON SCENE OF DAMAGE NEAR 6 MILES SSW OF MT. PULASKI. 2 SHEDS... 2 GRAIN BINS DAMAGED. ADJACENT HOME HAS BROKEN WIND (ILX)
2339,UNK,3 S MOUNT CARROLL,CARROLL,IL,42.05,-89.97,SATELLITE DERIVED TRACK WITH CONFIRMED POWERLINE DAMAGE. THE TORNADO WAS ESTIMATED TO HAVE PEAK WINDS OF 110 MPH . IT WAS ON THE GROUND FOR 0.97 MILES WITH A WIDTH OF 3 (DVN)
2347,UNK,LATHAM,LOGAN,IL,39.97,-89.16,ROOF DAMAGE TO SEVERAL BUILDINGS IN LATHAM. (ILX)
2348,UNK,2 S DEER GROVE,BUREAU,IL,41.58,-89.69,ESTIMATED PEAK 110 MPH WINDS... WITH A PATH LENGTH OF 13.9 MILES AND WIDTH OF 150 YARDS. (DVN)
2350,UNK,2 N KEWANEE,HENRY,IL,41.27,-89.93,MET STUDENTS FROM NIU SAW THE TORNADO CROSS ILLINOIS 78 NORTH OF TOWN FOLLOWED BY TRANSFORMER EXPLOSIONS. (DVN)
2350,UNK,4 W BELMONT,LAFAYETTE,WI,42.73,-90.41,EF1 TORNADO. PATH LENGTH OF 12.8 MILES AND MAX WIND SPEED OF 100 MPH. PATH EXTENDS FROM WEST OF BELMONT TO JUST SOUTHWEST OF MINERAL POINT. NUMEROUS TREES SNAPPED OR UP (MKX)
2350,UNK,2 N REWEY,IOWA,WI,42.86,-90.4,EF1 TORNADO. SHORT TRACK TORNADO OF ONE HALF MILE WITH MAX WIND SPEED OF 95 MPH. DAMAGE TO TREES AND SEVERAL OUTBUILDINGS. (MKX)
2355,UNK,4 N BELMONT,LAFAYETTE,WI,42.8,-90.32,HAVE SEPARATED THE PATH OF THE BELMONT TO MINERAL POINT TORNADO INTO TWO SEPARATE PATHS BASED UPON RADAR DATA AND THE LACK OF DAMAGE BETWEEN THE SOUTHERN TRACK AND NORT (MKX)
2356,UNK,9 SSW HARMON,LEE,IL,41.6,-89.63,[THIS TORNADO BEGAN IN WFO DVNS AREA] NWS SURVEY CONFIRMS AN EF-1 TORNADO WITH PEAK WINDS OF 110 MPH DEVELOPED SOUTHWEST OF DEER GROVE... CROSSED THE LEE COUNTY LINE JU (LOT)
2359,UNK,2 E MARVELL,PHILLIPS,AR,34.56,-90.88,SPOTTER REPORT OF A TORNADO. (MEG)
2359,UNK,6 NW FORRESTON,OGLE,IL,42.19,-89.65,SEVERAL FARM STRUCTURES DESTROYED IN FAR NORTHWEST OGLE COUNTY. TORNADO DEBRIS SIGNATURE OBSERVED ON KDVN RADAR. (LOT)
0000,UNK,3 NE SHARON,WALWORTH,WI,42.53,-88.7,STRUCTURAL DAMAGE REPORTED NEAR INTERSECTION OF TOWN HALL ROAD AND KOCH ROAD. TIME EST BY RADAR. (MKX)
0001,UNK,E DAWSON,SANGAMON,IL,39.86,-89.46,SPOTTER REPORTING TORNADO AND DEBRIS ON TELSTAR AND SCULLY RD JUST E OF DAWSON. (ILX)
0006,UNK,MORRISONVILLE,CHRISTIAN,IL,39.43,-89.46,SPOTTER REPORTING REPEATED BRIEF TOUCHDOWNS OF SMALL ROPE TORNADO N OF MORRISONVILLE. (ILX)
0008,UNK,3 WNW SUBLETTE,LEE,IL,41.65,-89.31,CORRECTS PREVIOUS TORNADO REPORT. NWS SURVEY FOUND THIS TORNADO BEGAN IN THE WOODHAVEN LAKES CAMPGROUND AND TRACKED ACROSS U.S. HIGHWAY 52 BETWEEN AMBOY AND SUBLETTE. T (LOT)
0008,UNK,8 SW BRODHEAD,GREEN,WI,42.53,-89.5,EF1 TORNADO. PATH LENGTH OF 9.8 MILES AND MAX WIND OF 100 MPH. PATH EXTENDED FROM 4 MILES SOUTH OF JUDA TO 2 MILES SOUTHWEST OF ALBANY. FOUR POWER POLES WERE SNAPPED. M (MKX)
0013,UNK,2 SE TAYLORVILLE AIRPOR,CHRISTIAN,IL,39.51,-89.3,20 POWER POLES BLOWN DOWN ALONG THE TAYLORVILLE NOKOMIS BLACKTOP SOUTH OF TAYLORVILLE TOWARD THE POWER SUB-STATION. (ILX)
0014,UNK,SUBLETTE,LEE,IL,41.64,-89.23,AN NWS SURVEY FOUND THIS TORNADO APPEARED TO BEGIN JUST SOUTH OF SUBLETTE AS IT CROSSED U.S. HIGHWAY 52... SNAPPING MULTIPLE WOODEN UTILITY POLES. THIS TORNADO THEN INC (LOT)
0015,UNK,2 NNW COMO,WALWORTH,WI,42.63,-88.51,ROOF DAMAGE TO SEVERAL STRUCTURES NEAR THE INTERSECTION OF COUNTY ROAD H AND WILLOW BEND ROAD SOUTH OF ELKHORN. TIME EST FROM RADAR. (MKX)
0023,UNK,3 S ALBANY,GREEN,WI,42.66,-89.43,EF0 TORNADO. PATH LENGTH OF 5.7 MILES AND MAX WIND OF 80 MPH. PATH EXTENDED FROM 4 MILES NORTHWEST OF BRODHEAD TO 7 MILES SOUTHWEST OF EVANSVILLE. LOTS OF TREES WERE SN (MKX)
0024,UNK,3 SE STILLMAN VALLEY,OGLE,IL,42.07,-89.15,*** 1 FATAL... 40 INJ *** AN NWS DAMAGE SURVEY CONFIRMED AN EF-1 TORNADO WITH PATH LENGTH OF APPROXIMATELY 28 MILES... MAXIMUM WIDTH OF 900 YARDS... AND PEAK WINDS OF 9 (LOT)
