Time,Speed,Location,County,State,Lat,Lon,Comments
2359,UNK,3 WNW CLARKSON VALLEY,ST. LOUIS,MO,38.65,-90.65,TREE SNAPPED AT BASE THAT CAUSED POWER LINES DOWN. (LSX)
0005,UNK,6 NNE HARVARD,MCHENRY,IL,42.49,-88.55,TREE DAMAGE REPORTED AT ALDEN RD AND STATE LINE RD. (LOT)
0007,64,4 NNE STOCKTON,JO DAVIESS,IL,42.4,-89.99,(DVN)
0011,UNK,2 WNW ROMEOVILLE,WILL,IL,41.66,-88.13,I-55 NEAR WEBER ROAD - SEMI-BLOWN OVER ON I-55. (LOT)
0011,UNK,1 WNW AMBOY,LEE,IL,41.72,-89.34,GRAIN BIN DAMAGED AT MAPLEHURST FARMS. TIME ESTIMATED BASED ON RADAR. (LOT)
0013,UNK,2 SE TAYLORVILLE AIRPOR,CHRISTIAN,IL,39.51,-89.3,CORRECTS PREVIOUS TORNADO REPORT FROM 2 SE TAYLORVILLE AIRPORT. 20 POWER POLES BLOWN DOWN ALONG THE TAYLORVILLE NOKOMIS BLACKTOP SOUTH OF TAYLORVILLE TOWARD THE POWER S (ILX)
0014,UNK,3 NNE CEDAR RAPIDS,LINN,IA,42.01,-91.66,1INCH DIAMETER STEEL FLAG POLE... BENT 30 DEGREE ANGLE AT THE BASE TREE DEBRIS BLOWN FORM A DISTANCE ONTO THE PROPERTY. (DVN)
0017,UNK,1 W LEMONT,COOK,IL,41.67,-88.03,SEMI BLOWN OVER ON I-355 ON LEMONT BRIDGE CROSSING OF THE DESPLAINES RIVER. (LOT)
0018,UNK,1 SW MENDOTA,LA SALLE,IL,41.54,-89.13,5 MOBILE HOME TRAILERS WITH THEIR ROOFS PEELED OFF (TRAILERS ARE STILL STANDING). HEAVY DUTY 6 INCH GIRDERS/I-BEAMS TOSSED ONTO ADJACENT PARKING LOT AT FACILITY ACROSS (LOT)
0019,74,SUBLETTE,LEE,IL,41.65,-89.23,(LOT)
0019,UNK,2 N DUBUQUE REGIONAL AR,DUBUQUE,IA,42.42,-90.71,ASBURY AND JFK LARGE TREE BRANCH BLOCKING AN ENTIRE LANE. (DVN)
0022,UNK,1 NNW LA SALLE,LA SALLE,IL,41.34,-89.1,LARGE TREE (DIAMETER AROUND 2 FEET) SNAPPED ON MAPLE ROAD IN LA SALLE. TIME ESTIMATED BASED ON RADAR. (LOT)
0022,UNK,3 SSW HOMESTEAD,IOWA,IA,41.73,-91.89,LOST PART OF METAL BARN ROOF CATTLE SHED DESTROYED. (DVN)
0024,UNK,4 SW STEWARD,LEE,IL,41.81,-89.08,PHOTOS SHARED ON SOCIAL MEDIA OF TWO GRAIN BINS HEAVILY DAMAGED ALONG WITH 5 LARGE TREES EITHER WITH THEIR TRUNKS SNAPPED OR TOPPLED/UPROOTED. (LOT)
0026,UNK,1 W BRODHEAD,GREEN,WI,42.62,-89.39,REPORTS OF MULTIPLE TREES DOWN AND POWERLINES DOWN ACROSS EASTERN AND SOUTHEAST GREEN CO. TIME ESTIMATED FROM RADAR. (MKX)
0027,UNK,DORSEY,MADISON,IL,38.97,-90,10FT X 10FT SHED PULLED OUT OF THE GROUND... FLIPPED... AND MOVED 20 FT. TIME ESTIMATED FROM RADAR. (LSX)
0029,UNK,3 WNW SUBLETTE,LEE,IL,41.66,-89.28,SEVERAL TREES DOWN AT A CAMP SITE NEAR TOWER RD AND LA MOILLE RD NEAR WOODHAVEN LAKES. (LOT)
0030,UNK,1 ESE SHREWSBURY,ST. LOUIS,MO,38.58,-90.32,LARGE TREE BRANCH OVER 8 INCHES IN DIAMETER BROKEN OFF TREE. (LSX)
0031,UNK,2 E LEE,DE KALB,IL,41.79,-88.91,[DELAYED REPORT] SEVERAL OUTBUILDINGS DAMAGED OR DESTROYED IN THE LEE AND SHABBONA AREAS. SEVERAL TREES ALSO UPROOTED. (LOT)
0032,UNK,2 S SAINT LOUIS,ST. LOUIS CITY,MO,38.6,-90.24,REPORT VIA FACEBOOK OF TREE SNAPPED AND DAMAGING A CAR... TIME ESTIMATED VIA RADAR. (LSX)
0035,UNK,3 SE TAYLORVILLE,CHRISTIAN,IL,39.52,-89.25,DELAYED REPORT. TREE SNAPPED NEAR THE BASE ON EAST LAKE SHORE DR. TIME ESTIMATED. (ILX)
0035,UNK,EARLVILLE,LA SALLE,IL,41.59,-88.92,SEVERAL TREES DOWN. (LOT)
0035,59,2 SSW ROCHELLE,OGLE,IL,41.89,-89.08,KRPJ ASOS PEAK GUST. (LOT)
0038,70,1 NE STEWARD,LEE,IL,41.86,-89.01,[DELAYED REPORT] SEMI BLOWN OVER ON I-39 NEAR STEWARD. SPOTTER ESTIMATES 70 MPH WIND GUSTS. (LOT)
0039,83,4 SSW PAW PAW,LEE,IL,41.63,-89.02,NW EARLVILLE PRIVATE WEATHER STATION MEASURED NORTH OF MERIDIAN. (LOT)
0039,UNK,2 N MACHESNEY PARK,WINNEBAGO,IL,42.38,-89.03,LARGE TREE DOWNED AND BLOCKING ROADWAY. POWER LINES ALSO DOWNED. (LOT)
0040,UNK,EVANSVILLE,ROCK,WI,42.78,-89.3,NWS STORM SURVEY SHOWED DOWNBURST WINDS... WITH DAMAGE IN A WNW TO N DIRECTION. (MKX)
0041,UNK,1 NNW EDWARDSVILLE,MADISON,IL,38.81,-89.97,TREE SNAPPED AT THE BASE... REPORT VIA FACEBOOK FROM LOCAL LAW ENFORCEMENT. TIME ESTIMATED FROM RADAR. (LSX)
0041,UNK,1 NE SOMONAUK,DE KALB,IL,41.65,-88.67,[DELAYED REPORT] SEVERAL TREES DOWNED AND GARAGE DOOR BLOWN IN. (LOT)
0041,75,3 N LELAND,DE KALB,IL,41.66,-88.79,PRIVATE WEATHER STATION NORTH OF LELAND. (LOT)
0045,UNK,1 NE PEVELY,JEFFERSON,MO,38.3,-90.39,DELAYED REPORT. TIME ESTIMATED FROM RADAR. LARGE TREE DOWN ACROSS ROAD. (LSX)
0045,UNK,1 WSW DECATUR,MACON,IL,39.84,-88.97,150-YEAR-OLD MAGNOLIA TREE SNAPPED AT THE BASE AT THE MILLIKIN HOMESTEAD. TIME ESTIMATED. (ILX)
0046,73,1 S BETHALTO,MADISON,IL,38.89,-90.05,ASOS WIND GUST AT ST. LOUIS REGIONAL AIRPORT. (LSX)
